Mixer name: 'RK29_RT3261'
Number of controls: 159
ctl	type	num	name                                     value
0	BOOL	2	Speaker Playback Switch                  Off Off
1	INT	2	Speaker Playback Volume                  31 31
2	INT	2	Earpiece Playback Volume                 31 31
3	BOOL	2	HP Playback Switch                       Off Off
4	INT	2	Headphone Playback Volume                31 31
5	BOOL	2	OUT Playback Switch                      Off Off
6	BOOL	2	OUT Channel Switch                       On On
7	INT	2	OUT Playback Volume                      31 31
8	BOOL	1	Mono Playback Switch                     Off
9	BOOL	2	DAC2 Playback Switch                     On On
10	INT	2	DAC1 Playback Volume                     175 175
11	INT	2	Mono DAC Playback Volume                 175 175
12	ENUM	1	IN1 Mode Control                         Differential
13	INT	1	IN1 Boost                                2
14	ENUM	1	IN2 Mode Control                         Differential
15	INT	1	IN2 Boost                                0
16	ENUM	1	IN3 Mode Control                         Single ended
17	INT	1	IN3 Boost                                0
18	ENUM	1	LOUT Mode Control                        Differential
19	INT	2	IN Capture Volume                        23 23
20	BOOL	2	ADC Capture Switch                       On On
21	INT	2	ADC Capture Volume                       47 47
22	INT	2	Mono ADC Capture Volume                  47 47
23	INT	2	ADC Boost Gain                           0 0
24	ENUM	1	Class D SPK Ratio Control                2.77x
25	ENUM	1	DMIC Switch                              Disable
26	ENUM	1	ASRC Switch                              Disable
27	ENUM	1	DACR Select                              IF2_DAC
28	ENUM	1	RxDP Select                              RxDP2
29	ENUM	1	RxDP1 Select                             DAC1
30	INT	2	Register Control                         0 14
31	INT	1	Main Mic Capture Volume                  2
32	INT	1	Headset Mic Capture Volume               0
33	ENUM	1	Main Mic Capture Switch                  on
34	ENUM	1	Headset Mic Capture Switch               on
35	ENUM	1	HP mute Switch                           off
36	ENUM	1	Modem Input Switch                       off
37	ENUM	1	ADC IF1 Data Switch                      Normal
38	ENUM	1	DAC IF1 Data Switch                      Normal
39	ENUM	1	ADC IF2 Data Switch                      right copy to left
40	ENUM	1	DAC IF2 Data Switch                      Normal
41	ENUM	1	RxDC input data                          Normal
42	ENUM	1	RxDP input data                          Normal
43	ENUM	1	TxDC input data                          Normal
44	ENUM	1	TxDP input data                          Normal
45	ENUM	1	SRC for RxDP                             Normal
46	ENUM	1	SRC for TxDP                             Normal
47	ENUM	1	DSP Function Switch                      AEC+NS+FENS
48	BOOL	1	Mic Jack Switch                          On
49	BOOL	1	Headset Jack Switch                      On
50	BOOL	1	Ext Spk Switch                           On
51	BOOL	1	Headphone Jack Switch                    On
52	ENUM	1	RxDC Mux                                 Mono_ADC
53	ENUM	1	RxDP1 Mux                                DAC1
54	ENUM	1	RxDP2 Mux                                IF2_DAC
55	ENUM	1	RxDP Mux                                 RxDP2
56	BOOL	1	Mono MIX DAC R2 Switch                   Off
57	BOOL	1	Mono MIX DAC L2 Switch                   Off
58	BOOL	1	Mono MIX OUTVOL R Switch                 Off
59	BOOL	1	Mono MIX OUTVOL L Switch                 Off
60	BOOL	1	Mono MIX BST1 Switch                     Off
61	BOOL	1	LOUT MIX DAC L1 Switch                   Off
62	BOOL	1	LOUT MIX DAC R1 Switch                   Off
63	BOOL	1	LOUT MIX OUTVOL L Switch                 Off
64	BOOL	1	LOUT MIX OUTVOL R Switch                 Off
65	BOOL	1	HPO MIX DAC2 Switch                      Off
66	BOOL	1	HPO MIX DAC1 Switch                      Off
67	BOOL	1	HPO MIX HPVOL Switch                     On
68	BOOL	1	DAC SPK DAC R1 Switch                    Off
69	BOOL	1	DAC SPK DAC L1 Switch                    Off
70	BOOL	1	SPOR MIX DAC R1 Switch                   Off
71	BOOL	1	SPOR MIX SPKVOL R Switch                 On
72	BOOL	1	SPOR MIX BST1 Switch                     Off
73	BOOL	1	SPOL MIX DAC Switch                      On
