0000: 000e
0001: 8888
0002: 8888
0003: 8888
0004: 8000
000d: 0080
000e: 0040
000f: 0808
0019: afaf
001a: afaf
001b: 0000
001c: 2f2f
001d: 4747
001e: 0000
0027: 7060
0028: 7030
0029: c080
002a: 5454
002b: 4444
002c: aa00
002d: 0000
002e: 0000
002f: 0300
003b: 0000
003c: 007f
003d: 0000
003e: 007d
0045: e000
0046: 003a
0047: 003a
0048: e800
0049: 2800
004a: 0004
004c: fc00
004d: 0000
004e: 0000
004f: 01ff
0050: 0000
0051: 0000
0052: 01ff
0053: f000
0061: 4002
0062: 3000
0063: e81c
0064: 8e00
0065: 0400
0066: 0000
006a: 001c
006c: 0d01
0070: d000
0071: 8000
0072: 8000
0073: 1114
0074: 0c00
0075: 1d00
0080: 4000
0081: 0302
0082: 0800
0083: 0000
0084: 0000
0085: 0008
0089: 0000
008a: 0000
008b: 0600
008c: 0334
008d: a000
008e: 0004
008f: 1100
0090: 0646
0091: 0c00
0092: 0000
0093: 3030
00b0: 2080
00b1: 0000
00b2: 0000
00b4: 2206
00b5: 1f00
00b6: 0000
00b7: 0000
00b8: 034b
00b9: 0066
00ba: 000b
00bb: 0000
00bc: 0000
00bd: 0000
00be: 0000
00bf: 0080
00c0: 0400
00c1: 0000
00c2: 0000
00c4: 0025
00c5: 0000
00c6: 0c60
00c7: 0000
00c8: 0000
00c9: 0000
00ca: 0000
00cb: 0000
00cc: 0000
00cd: 0000
00ce: 0000
00cf: 0013
00d0: 0680
00d1: 1c17
00d2: 8c00
00d3: 2a20
00d6: 0400
00d7: 0000
00d9: 0809
00da: 0000
00fa: 6701
00fb: 4040
00fc: 0000
00fd: 0006
00fe: 10ec
00ff: 6231
